GeneID	GSM7510191	GSM7510192	GSM7510193	GSM7510194	GSM7510195	GSM7510196	GSM7510197	GSM7510198	GSM7510199	GSM7510200	GSM7510201	GSM7510202
91978	28.63	51.57	43.15	28.85	31.98	38.71	48.83	43.17	51.41	38.39	44.31	30.02
997	165	133.3	123.5	112.8	123.9	188.6	169.6	157.1	115.4	102.7	156.1	129
3004	2.104	0.1106	0.3393	0.7324	1.183	0.6849	0	0.09782	0.7575	0.4821	0.5729	0.2154
105372233	4.057	2.955	2.488	4.22	3.903	4.305	5.016	2.613	3.968	3.031	5.627	4.57
682	959.7	1012	910.4	741.4	778.2	1002	938.3	916	756.2	676.3	901.2	705.3
610	32.45	30.01	26.4	24.96	25.6	47.56	39.75	31.64	47.51	38.43	18.73	17.55
107987266	10.49	7.788	5.839	7.447	5.552	14.29	13.49	9.412	13.18	11.46	6.218	4.739
5442	26.21	55.13	48.35	39.07	46.86	32.27	36.11	31.31	68.3	57.36	42.8	35.63
105372234	3.416	1.844	2.155	1.163	1.69	1.631	2.907	0.9318	4.51	3.732	1.705	2.821
27006	0.8074	0.3114	0.1592	0.1718	0.08324	0.1377	0.1982	0.1377	0.1777	0	0.2016	0
55658	40.16	51.57	50.51	59.77	49.97	57.35	55.07	50.91	64.81	52.74	67.47	48.89
10272	24.69	49.25	48.6	6.81	8.085	6.362	7.527	7.626	10.63	9.441	11.8	10.94
400668	0	0.09791	0.1001	0	0	0	0	0	0	0.4267	0	0.09533
5064	2.612	9.01	9.184	0.09177	0.02964	0.07356	0	0.04903	0.2531	0.06042	0.6461	0.4589
126353	1.47	1.636	1.804	1.31	1.75	0.4824	0.8713	0.1986	0.9519	1.014	0.4984	0.4373
101928450	0	0.4138	0.7052	0	0	0	0	0.244	0.4723	0.4509	0	0.1343
107985343	0.5556	3.429	2.958	0	0.2291	0.1895	0	0	0.4891	1.051	0.4162	0
5725	271	229.5	199.2	285	283.7	337.5	273.2	274.5	255.7	232.4	272.8	220.6
100616459	0	0	0	0	1.763	0	0	0	3.763	0	0	3.21
79948	51.62	54.81	46.74	52.75	50.49	62.02	51.2	52.07	45.03	41.62	52.71	41.46
100422854	10.1	51.11	46.28	0	0	0	2.479	0	3.333	0	3.781	1.422
566	0.1948	0.7889	0.3457	0.6218	0.3615	0.299	0.1913	0.09966	0.5144	0.2456	0.5836	0
5657	0.2477	0.7642	0.7814	0	0.1021	0.2535	0	0	0	0.2082	0	0
1991	0.1047	0.1212	0.06195	0	0	0.5359	0	0.4286	0.1383	0.2641	0	0
1675	3.207	8.94	7.588	1.768	1.623	0.2984	0.501	0.8204	0.6737	0.2757	0.9827	1.314
10025	36.93	56.21	46.93	42.42	50.35	47.16	55.89	56.51	62.52	53.7	54.02	35.26
101954271	0	1.911	0	1.054	0	0.8449	0	0	4.361	0	0	0
91300	66.98	82.27	74.91	83.59	91.29	69.3	72.29	76.67	74.15	64.2	86.16	73.02
