Gene,THP1_sgNT_R1,THP1_sgNT_R2
ABITRAMP1,0,0
ABL1,57.843,51.709
ABL2,8.523,7.755
ABLIM1,0,0
ABLIM2,0.606,0.354
ABLIM3,0.258,0.129
ABO,0,0
ABR,50.975,45.809
ABRA,0,0
ABRACL,353.54,338.576
ABRAXAS1,9.089,6.809
ABRAXAS2,60.434,54.116
ABT1,25.146,22.885
ABT1P1,0,0.087
ABTB1,2.879,2.901
ABTB2,17.685,15.544
AC000029.1,0,0
AC000029.2,0,0
AC000032.1,0,0.145
AC000035.1,2.277,1.249
AC000036.1,0,0
AC000041.1,0,0
AC000050.1,0,0
AC000050.3,0,0
AC000058.1,0.112,0
AC000061.1,0,0
AC000065.1,0.015,0.018
AC000065.2,0.444,0.659
AC000067.1,0,0
AC000068.1,0.143,0.204
AC000068.2,0,0
AC000068.3,0.281,0.167
AC000072.1,0,0
AC000077.1,0,0
AC000078.1,0.176,0.105
AC000081.1,0.202,1.202
AC000081.2,0,0
AC000082.1,0,0
AC000085.1,0.208,0.165
AC000089.1,4.724,6.242
AC000093.1,0.347,0.398
AC000095.1,0.344,0
AC000095.2,0,0
AC000095.3,0,0
AC000111.1,0,0
AC000111.2,0,0
AC000113.1,0,0
AC000114.1,0,0
AC000120.1,4.57,6.211
AC000120.2,0.454,0.719
AC000120.3,0,0
AC000120.4,0,0
AC000123.1,0,0
AC000123.2,5.733,7.746
AC000123.3,6.351,6.475
AC000124.1,0,0
AC000362.1,0,0
AC000367.1,0,0
AC000372.1,0,0
AC000374.1,0,0
AC000403.1,0.72,0.677
AC001226.1,0,0.133
AC001226.2,0.02,0.023
AC002044.1,0,0
AC002044.2,0,0
AC002044.3,0,0.132
AC002056.1,2.608,2.819
AC002056.2,0,0
AC002057.1,0,0
AC002057.2,0,0
AC002059.1,0.504,0.299
AC002059.2,2.184,0.649
AC002059.3,0.073,0
AC002064.1,0,0
AC002064.2,0.082,0.097
AC002064.3,0,0
AC002064.4,0,0
AC002066.1,0,0
AC002069.1,0,0
AC002069.2,0,0
AC002069.3,0,0
AC002069.4,0,0
AC002070.1,0.041,0.049
AC002072.1,0,0
AC002073.1,0,0
AC002074.1,0,0
AC002074.2,0,0
AC002075.1,0,0
AC002075.2,0.953,1.134
AC002076.1,0,0
AC002076.2,0,0
AC002090.1,0,0
AC002091.1,5.392,3.462
AC002091.2,4.782,5.33
AC002094.1,0.114,0.136
AC002094.2,0,0
AC002094.3,0,0
AC002094.4,0,0.233
AC002094.5,0,0
AC002101.1,0,0
AC002115.1,0.106,0
AC002116.1,0,0
AC002116.2,4.858,4.665
AC002127.1,0,0
AC002128.1,0,0.07
AC002128.2,0,0
AC002306.1,0,0
AC002310.1,1.508,2.105
AC002310.2,0.846,0.839
AC002310.3,0.083,0.099
AC002310.4,0,0
AC002310.5,0.218,0.052
AC002331.1,0,0
AC002347.1,0.444,0.264
AC002347.2,0.351,0
AC002350.1,0,0
AC002350.2,2.53,2.813
AC002351.1,0.024,0.029
AC002359.1,0,0
AC002365.1,0,0
AC002366.1,0.05,0
AC002368.1,0.929,0.552
AC002375.1,0,0
AC002377.1,0,0
AC002378.1,0,0
AC002381.1,0,0
AC002383.1,0,0
AC002386.1,0,0
AC002395.1,0,2.267
AC002398.1,0.141,0.167
AC002398.2,0,0.216
AC002401.1,0,0.153
AC002401.2,0,0
AC002401.3,0,0
AC002401.4,0,0
AC002407.1,0,0
AC002407.2,0,0
AC002416.1,0,0
AC002428.1,0,0
AC002428.2,0,0
AC002429.1,0,0
AC002451.1,0.062,0.021
AC002451.2,0,0
AC002456.1,0.135,0.08
AC002456.2,0,0.188
AC002458.1,0,0
AC002460.1,0,0
AC002460.2,0,0
AC002461.1,0,0
AC002463.1,0,0
AC002464.1,24.773,22.547
AC002465.1,0,0
AC002467.1,1.868,1.354
AC002470.1,1.673,0.904
AC002470.2,0.052,0.083
AC002472.1,0,0
AC002472.2,0.063,0.075
AC002472.3,0,0
AC002472.4,0,0
AC002480.1,0,0
AC002480.2,0,0
AC002486.1,0,0
AC002486.2,0,0
AC002487.1,0,0
AC002504.1,0,0
AC002511.1,0,0
AC002511.2,0,0
AC002511.3,0,0
AC002519.1,0.366,0.384
AC002519.2,0.082,0.049
AC002524.1,4.722,3.264
AC002525.1,0,0
AC002529.1,0,0
AC002540.1,0,0
AC002542.1,0,0
AC002542.2,0,0
AC002542.3,0,0
AC002542.4,0,0
AC002542.5,0,0
AC002542.6,0,0
AC002543.1,0,0
AC002543.2,0,0
AC002545.1,0.332,1.973
AC002546.1,0,0
AC002550.1,0.044,0
AC002550.2,0.915,2.357
AC002551.1,0,0.241
AC002553.1,0.3,0.267
AC002553.2,0.726,1.079
AC002558.1,1.122,1.69
AC002558.2,0,0
AC002558.3,0.77,0.496
AC002563.1,0,0.158
AC002980.1,0,0
