Gene,THP1_sgNT_R1,THP1_sgNT_R2
AC114801.2,0,0
AC114801.3,0.679,0.807
AC114802.1,0,0
AC114803.1,0,0
AC114808.1,0,0
AC114808.2,0,0
AC114810.1,0,0
AC114811.1,0,0
AC114811.2,0.053,0.013
AC114812.1,0,0
AC114812.2,0,0
AC114812.3,0,0
AC114812.4,0,0
AC114814.1,0,0
AC114814.2,0,0
AC114814.3,0,0
AC114876.1,0,0
AC114878.1,0,0
AC114878.2,0,0
AC114928.1,0,0
AC114930.1,0,0
AC114939.1,0,0
AC114940.1,0,0
AC114940.2,0,0
AC114947.1,0,0.247
AC114947.2,0.048,0
AC114954.1,0,0
AC114956.1,1.408,0.837
AC114956.2,0.304,0.181
AC114964.1,0,0
AC114964.2,0,0
AC114967.1,0,0
AC114971.1,0,0
AC114973.1,0,0
AC114977.1,0.064,0.076
AC114977.2,0,0
AC114980.1,0.228,0.158
AC114981.1,0,0
AC114981.2,0,0
AC114982.1,0,0
AC114982.2,0,0
AC115085.1,0,0
AC115088.1,0.556,1.323
AC115099.1,0,0
AC115100.1,0,0
AC115102.1,0,0
AC115115.1,0.242,0
AC115220.1,0,0
AC115220.2,0,0
AC115223.1,7.664,7.963
AC115282.1,0,0
AC115282.2,0,0
AC115284.1,0,0
AC115284.2,0.029,0.104
AC115284.3,0,0
AC115284.4,0.399,0.65
AC115285.1,0,0
AC115286.1,0,0
AC115485.1,0,0
AC115522.1,0,0.128
AC115618.1,1.313,1.561
AC115618.2,0,0.317
AC115618.3,0,0
AC115619.1,0,0
AC115621.1,0,0
AC115622.1,0,0
AC115676.1,0,0
AC115837.1,1.98,1.498
AC115837.2,0,0
AC115989.1,0,0
AC115989.2,0,0
AC115990.1,0,0
AC116003.1,0,0
AC116003.2,0,0
AC116003.3,0.111,0
AC116021.1,2.024,1.531
AC116025.1,0,0
AC116025.2,0.949,2.096
AC116035.1,0,0
AC116036.1,0,0
AC116036.2,0.13,0
AC116038.1,0,0
AC116049.1,0.956,0.853
AC116050.1,0,0
AC116096.1,0,0
AC116099.1,0,0
AC116158.1,0.113,0.134
AC116158.2,0,0
AC116158.3,0.224,0.255
AC116165.3,0,0
AC116165.4,0,0
AC116165.5,0,0
AC116312.1,0,0
AC116317.1,0,0
AC116317.2,0,0
AC116337.1,0,0.104
AC116337.2,0.385,0
AC116337.3,0,0
AC116337.4,0,0
AC116345.1,0,0
AC116345.2,0,0
AC116345.3,0,0.159
AC116345.4,0.078,0.123
AC116347.1,6.591,6.845
AC116347.2,0,0
AC116348.1,0,0
AC116348.2,0,0.61
AC116348.3,0,0
AC116348.4,0,0
AC116348.5,0,0
AC116348.6,0,0
AC116350.1,0,0
AC116351.1,7.866,6.666
AC116351.2,0.303,0.315
AC116353.1,0,0
AC116353.2,0,0
AC116353.3,0,0
AC116353.4,0,0
AC116353.5,0,0
AC116353.6,0,0
AC116359.1,0,0.065
AC116361.1,0,0
AC116362.1,0.285,0.21
AC116362.2,0,0
AC116366.1,0.541,0
AC116366.2,0.161,0.211
AC116366.3,0,0.008
AC116407.1,0.301,0.179
AC116407.2,0.768,0.249
AC116407.3,0,0
AC116407.4,1.132,1.077
AC116424.1,0,0.099
AC116428.1,0,0
AC116447.1,0.663,0.946
AC116456.1,0,0
AC116456.2,0,0
AC116493.1,0,0.7
AC116533.1,118.826,151.52
AC116534.1,0,0
AC116535.1,0,0
AC116535.2,0.297,0.294
AC116552.1,0,0
AC116553.1,0,0
AC116553.2,0,0
AC116562.1,0,0
AC116562.2,0,0
AC116562.3,0.317,0.471
AC116563.1,0,0
AC116563.2,0,0
AC116565.1,1.097,0.712
AC116609.1,0,0
AC116609.2,0,0
AC116609.3,0.833,0.248
AC116611.1,0,0
AC116612.1,0,0
AC116616.1,0,0
AC116634.1,0,0
AC116651.1,2.917,2.698
AC116655.1,0,0
AC116666.1,0,0
AC116667.1,0,0.034
AC116667.2,0.073,0
AC116903.1,0,0
AC116903.2,0,0
AC116913.1,2.189,2.701
AC116913.2,0,0
AC116914.1,0.755,1.615
AC116914.2,0,0
AC116917.1,0,0.234
AC117372.1,0,0
AC117372.2,0,0
AC117373.1,0,0
AC117373.2,0,0
AC117377.1,0,0
AC117378.1,1.43,1.336
AC117382.1,1.152,1.37
AC117382.2,0.172,0.159
AC117383.1,0,0
AC117383.2,0,0
AC117386.1,0,0
AC117386.2,0,0
AC117392.1,0,0
AC117394.1,0,0
AC117394.2,0.186,0
AC117395.1,0.083,0
AC117415.1,0,0
AC117415.2,0,0
AC117422.1,0,0
AC117430.1,0,0
AC117434.1,0,0
AC117435.1,0,0
AC117440.1,0,0
AC117453.1,0.033,0.033
AC117454.1,0,0
AC117456.1,0,0
AC117457.1,0,0
AC117460.1,0,0
AC117461.1,0,0
AC117462.1,0,0
AC117464.1,0,0.019
AC117465.1,0,0
AC117469.1,0.062,0
AC117470.1,0,0
AC117473.1,0,0
AC117474.1,0,0
AC117480.1,0,0
AC117481.1,0,0
AC117482.1,0,0
AC117487.1,0,0
AC117488.1,0,0
AC117489.1,0,0
AC117490.1,0,0
AC117490.2,0.202,0
AC117498.1,0,0
AC117498.2,0,0
AC117498.3,0,0
AC117500.1,0,0
AC117500.2,0,0
AC117500.3,0.097,0
AC117500.4,0,0
AC117500.5,0.204,0
AC117500.6,0,0
AC117503.1,0,0
AC117503.2,2.599,2.852
AC117503.3,0.635,0.856
AC117503.4,0,0
AC117503.5,0,0
AC117505.1,0,0
AC117509.1,0,0
AC117522.1,0,0
AC117522.2,0,0
AC117522.3,0,0
AC117525.1,0,0
AC117528.1,0.081,0
AC117529.1,0,0
AC117529.2,0,0
AC117532.1,0,0
AC117569.1,0,0
AC117569.2,0,0
AC117834.1,0,0
AC117834.2,0,0
AC117944.1,0.094,0.223
AC117945.1,0,0
AC117945.2,0,0
AC118141.1,0,0
AC118273.1,0,0
AC118273.2,0,0
AC118281.1,0,0
AC118282.1,0,0
AC118282.2,0,0
AC118282.3,0,0
AC118282.4,0,0
AC118344.1,1.643,1.71
AC118344.2,0,0
AC118344.3,0,0
AC118344.4,0.416,0.525
AC118345.1,0,0
AC118465.1,0,0
AC118469.1,0,0
AC118469.2,0.247,0.294
AC118470.1,0,0
AC118549.1,31.241,26.046
AC118553.1,1.926,2.072
AC118553.2,0.469,0.409
AC118555.1,0,0
AC118650.1,0,0
AC118653.1,0,0
AC118658.1,0.131,0.467
AC118754.1,0.325,0.193
AC118754.2,0.336,0.266
AC118755.1,0,0
AC118755.2,1.133,2.695
AC118757.1,0,0.098
AC118758.1,0,0
AC118758.2,0,0
AC118758.3,0.002,0.006
AC118942.1,0,0
AC119038.1,0,0
AC119150.1,0,0
AC119150.2,0,0
AC119396.1,16.896,14.796
AC119396.2,0,0
AC119403.1,0.935,0.724
AC119403.2,0,0
AC119424.1,0,0
AC119427.1,0,0
AC119427.2,0,0
AC119428.1,0,0
AC119428.2,0.068,0
AC119501.1,0,0
AC119619.1,0,0
AC119673.1,5.461,8.116
AC119673.2,0,0
AC119673.3,0.029,0.023
AC119674.1,0,0
AC119674.2,0,0
AC119676.1,0,0
AC119677.1,0.765,1.061
AC119740.1,0,0
AC119744.1,0,0
AC119749.1,0,0
AC119751.1,0,0
AC119751.2,0,0
AC119751.3,0,0
AC119751.4,0,0
AC119751.5,0,0
AC119751.6,0,0
AC119751.7,0,0
AC119751.8,0,0
AC119800.1,0.142,0.338
AC119868.1,0,0
AC119868.2,0,0
AC120024.1,0.06,0.072
AC120024.2,0,0
AC120024.3,0,0
AC120024.4,0,0
AC120036.1,0.326,0.048
AC120036.2,0.206,0
AC120036.3,4.693,6.417
AC120036.4,3.255,2.408
AC120036.5,0,0
AC120042.1,0,0
AC120042.2,0,0
AC120045.1,0,0
AC120045.2,0,0
AC120045.3,0,0
AC120049.1,0.029,0.173
AC120053.1,8.325,6.987
AC120057.1,0,0
AC120057.2,0,0
AC120057.3,0.037,0.044
AC120057.4,4.291,3.71
AC120114.1,2.659,2.229
AC120114.2,0.091,0
AC120114.3,2.765,2.083
AC120114.4,0,0.514
AC120193.1,0,0
AC120194.1,0,0
AC120338.1,0,0
AC120349.1,0,0
AC120349.2,0.202,0.719
AC120349.3,0,0
AC120498.1,0,0
AC120498.10,0,0
AC120498.2,0,0
AC120498.3,0,0
AC120498.4,0,0
AC120498.5,0,0
AC120498.6,0,0
AC120498.7,0,0
AC120498.8,2.376,3.228
AC120498.9,0.109,0.185
AC121154.1,0,0
AC121161.1,0,0
AC121161.2,0,0
AC121247.1,0,0
AC121247.2,0,0
AC121247.3,0,0.525
AC121251.1,0,0
AC121320.1,0,0.085
AC121333.1,0,0
AC121334.1,0,0.089
AC121334.2,0,0
AC121334.3,0,0
AC121334.4,0,0.124
AC121336.1,0.897,1.066
AC121338.1,0.327,0.222
AC121338.2,0.241,0.287
AC121342.1,0,0
AC121343.1,0,0
AC121493.1,0,0
AC121757.1,0,0
AC121757.2,0,0
AC121758.1,0,0
AC121758.2,0.015,0
AC121758.3,0,0
AC121758.4,0,0
AC121761.1,0.446,0.386
AC121761.2,0.262,0
AC121764.1,0,0
AC121764.2,0,0
AC121764.3,0,0
AC122108.1,0,0
AC122108.2,0,0
AC122108.3,0,0
AC122129.1,0,0
AC122129.2,1.16,0.46
AC122133.1,0,0
AC122134.1,0,0
AC122136.1,0,0
AC122138.1,0,0
AC122179.1,0,0
AC122683.1,0,0
AC122685.1,0,0
AC122688.1,0,0
AC122688.2,0,0
AC122688.3,2.339,2.925
AC122688.4,0.615,0.471
AC122688.5,0,0
AC122694.1,0,0
AC122697.1,0,0
AC122707.1,0,0
AC122710.1,0,0
AC122710.2,0,0
AC122713.1,0,0
AC122713.2,0,0
AC122714.1,0,0
AC122714.2,0,0
AC122718.1,0.727,0.48
AC122718.2,0.61,0.846
AC122719.1,0,0
AC122719.2,0.143,0
AC122719.3,0,0
AC123023.1,0,0
AC123023.2,0,0
AC123512.1,0,0
AC123567.1,0,0
AC123567.2,0,0
AC123595.1,0,0
AC123595.2,0,0
AC123595.3,0,0
AC123767.1,0,0
AC123768.1,0,0
AC123768.2,3.282,2.537
AC123768.3,0.166,0.197
AC123768.4,0.171,0.306
AC123768.5,0,0.032
AC123769.1,0,0
AC123777.1,0,0
AC123784.1,0,0
AC123786.1,0,0.108
AC123786.2,0,0
AC123786.3,0,0
AC123788.1,0,0
AC123788.2,0,0
AC123900.1,0,0
AC123904.1,0,0
AC123904.2,0,0
AC123904.3,0,0
AC123905.1,0,0
AC123912.1,0,0
AC123912.2,0,0
AC123912.3,0,0
AC123912.4,0,0
AC123912.5,0,0.208
AC123912.6,0,0
AC124014.1,0,0
AC124016.1,0,0
AC124016.2,1.26,0.946
AC124016.3,0.949,1.354
AC124017.1,0,0.023
AC124045.1,3.076,3.108
AC124057.1,0.297,0
AC124066.1,0,0
AC124067.1,0,0
AC124067.2,0.648,0.481
AC124067.3,0,0
AC124067.4,0.025,0.03
AC124068.1,0.089,0
AC124068.2,0.65,0.322
AC124069.1,0,0
AC124076.1,0,0
AC124242.1,0.263,0.352
AC124242.2,0,0
AC124242.3,0,0.396
AC124248.1,0.489,0.264
AC124248.2,0.033,0.08
AC124254.1,0,0
AC124254.2,0,0
AC124276.1,0,0.079
AC124276.2,0,0
AC124283.1,0.101,0.24
AC124283.2,0.189,0
AC124283.3,1.517,1.443
AC124283.4,0,0
AC124283.5,0.066,0
AC124290.1,0.871,0.682
AC124290.2,3.941,4.524
AC124290.3,0,0
AC124293.1,0,0
AC124301.1,0,0
AC124303.1,0,0
AC124303.2,0.041,0
AC124312.1,0,0
AC124312.2,0,0
AC124312.3,0,0
AC124312.4,0,0
AC124312.5,0,0
AC124319.1,0.092,0.219
AC124319.2,0,0
AC124319.3,0.056,0.099
AC124784.1,0,0
AC124798.1,16.168,14.765
AC124798.2,0.054,0
AC124798.3,0,0
AC124804.1,0,0
AC124852.1,0,0
AC124854.1,0,0
AC124856.1,1.274,0.957
AC124861.1,0,0
AC124861.2,0,0
AC124861.3,0,0
AC124861.4,0,0
AC124862.1,0,0
AC124864.1,0,0
AC124864.2,0,0
AC124864.3,0,0
AC124891.1,0,0
AC124893.1,0,0
AC124916.1,0.11,0
AC124916.2,2.145,0.957
AC124944.1,0.339,0.69
AC124944.2,0.559,0.781
AC124944.3,0,0
AC124945.1,0,0
AC124947.1,0,0
AC124947.2,0,0.063
AC125232.1,5.609,4.542
AC125238.1,0,0
AC125238.2,0.083,0.149
AC125257.1,0,0
AC125257.2,0,0.916
AC125336.1,0,0
AC125388.1,0,0
AC125421.1,0,0
AC125421.2,0,0
AC125437.1,4.459,4.801
AC125437.2,0.055,0.165
AC125437.3,0,0
AC125494.1,0.05,0.179
AC125494.2,1.92,2.5
AC125494.3,0,0
AC125603.1,70.243,58.152
AC125603.2,137.004,116.263
AC125603.3,0,0.147
AC125603.4,0,0
AC125611.1,0,0
AC125611.2,0.464,0.552
AC125611.3,0.442,0.63
AC125611.4,0.058,0.069
AC125612.1,0.159,0.189
AC125613.1,0,0
AC125613.2,0,0
AC125616.1,0.08,0.063
AC125618.1,0,0
AC125618.2,0.533,0.254
AC125634.1,0,0
AC125793.1,0,0
AC125807.1,0.783,0.814
AC125807.2,6.547,5.935
AC126118.1,0.191,0.455
AC126120.1,0.128,0
AC126121.1,0,0
AC126121.2,0,0
AC126121.3,0,0
AC126121.4,0,0
AC126124.1,0,0
AC126124.2,0.561,1.112
AC126172.1,0,0
AC126175.1,0,0
AC126175.2,0.238,0.094
AC126177.1,0,0
AC126177.2,0,0
AC126177.3,0,0
AC126177.4,0,0
AC126177.5,0,0
AC126177.6,0,0.105
AC126178.1,0,0
AC126182.1,0,0
AC126182.2,0,0
AC126182.3,0,0
AC126283.1,0.66,0.981
AC126283.2,0,0
AC126323.1,0.108,0.073
AC126323.2,0,0.019
AC126323.3,0.107,0
AC126323.4,0,0
AC126323.5,0,0
AC126323.6,0,0
AC126323.7,0.226,0
AC126335.1,0,0
AC126335.2,0,0
AC126365.1,0.079,0.283
AC126365.2,0,0
AC126389.1,0.414,0.739
AC126407.1,0,0
AC126467.1,0,0
AC126468.1,0,0
AC126471.1,0,0
AC126474.1,6.272,5.082
AC126474.2,19.359,17.223
AC126544.1,0.401,1.24
AC126544.2,0,0
AC126564.1,0,0
AC126603.1,0,0
AC126614.1,0.219,0.261
AC126615.1,0.572,0.34
AC126615.2,0,0
AC126696.1,0,0
AC126696.2,0,0
AC126696.3,0.661,0.561
AC126755.1,0.786,0.661
AC126755.2,0,0
AC126755.3,0,0
AC126755.4,0,0
AC126755.5,0,0
AC126755.6,0,0
AC126755.7,0,0
AC126763.1,0,0
AC126768.1,0,0
AC126768.2,0,0
AC126768.3,0,0
AC126773.1,0,0
AC126773.2,0,0
AC126773.3,0,0
AC126773.4,0,0.042
AC126773.5,0.135,0.08
AC126773.6,0.059,0.07
AC126915.1,0,0
AC126915.2,0,0
AC126915.3,0,0
AC127002.1,3.26,4.983
AC127002.2,0,0
AC127024.1,0.144,0.342
AC127024.2,1.075,2.556
AC127024.3,0,0
AC127024.4,0.195,0
AC127024.5,24.183,20.561
AC127024.6,0.708,1.011
AC127024.7,0,0
AC127024.8,1.75,2.456
AC127029.1,0,0
AC127029.2,0,0
AC127029.3,0,0
AC127035.1,0,0
AC127070.1,2.056,1.544
AC127070.2,0.442,0.547
AC127070.3,0.156,0
AC127070.4,2.455,2.614
AC127071.1,0,0
AC127071.2,0,0
AC127164.1,0,0
AC127381.1,0,0
AC127381.2,0,0
AC127383.1,0,0
AC127391.1,0,0
AC127455.1,0,0
AC127459.1,0,0
AC127459.2,0,0
AC127459.3,0,0
AC127496.1,0,0
AC127496.2,0,0
AC127496.3,0,0
AC127496.4,0,0
AC127496.5,0,0.062
AC127496.6,0,0
AC127496.7,6.181,5.482
AC127502.1,4.2,4.29
AC127502.2,3.986,3.645
AC127502.3,0.199,0.059
AC127520.1,0,0
AC127521.1,0,0
AC127522.1,0,0
AC127526.1,0,0
AC127526.2,0.349,0.311
AC127526.3,0.054,0
AC127526.4,0,0.061
AC127526.5,0.049,0.117
AC127537.1,0.241,0.477
AC127540.1,0,0
AC127540.2,0,0
AC127894.1,0,0
AC128657.1,2.071,1.478
AC128676.1,0,0
AC128677.1,0,0
AC128685.1,0,0
AC128687.1,0,0.115
AC128687.2,0.106,0.252
AC128687.3,0,0.273
AC128688.1,0.347,0.413
AC128707.1,0,0
AC128709.1,0.1,0.238
AC128709.2,0,0
AC128709.3,0,0
AC128713.1,0,0
AC128714.1,0,0
AC128716.1,0,0
AC129102.1,0,0
AC129416.1,0,0
AC129492.1,0.2,0.119
AC129492.2,0,0
AC129492.3,0,0.155
AC129492.4,0,0.461
AC129492.5,1.526,0.453
AC129492.6,0,0
AC129492.7,0.318,0.189
AC129502.1,0.036,0.086
AC129507.1,1.078,0.594
AC129507.2,0,0
AC129507.3,0,0
AC129507.4,0,0
AC129510.1,0,0
AC129510.2,0,0
AC129778.1,0,0
AC129803.1,0.029,0
AC129807.1,0,0
AC129850.1,0,0
AC129908.1,0,0
AC129915.3,0,0
AC129926.1,0,0.349
AC129926.2,0,0
AC129929.1,0,0
AC130289.1,0,0
AC130289.2,0,0
AC130304.1,0.05,0
AC130307.1,0,0
AC130324.1,0.217,0.344
AC130324.2,0,0.224
AC130324.3,10.972,12.914
AC130343.1,0,0.156
AC130343.2,0.987,0.335
AC130352.1,0.273,0.108
AC130360.1,0,0
AC130364.1,0,0
AC130364.2,0,0
AC130365.1,0,0
AC130366.1,0,0
AC130371.1,0,0
AC130371.2,0.393,0.468
AC130404.1,0,0
AC130404.2,0,0
AC130406.1,0,0
AC130415.1,0,0
AC130448.1,0.035,0.082
AC130448.2,0.161,1.146
AC130454.1,0.15,0.356
AC130456.1,0,0
AC130456.2,0,0
AC130456.3,0.19,0.113
AC130456.4,0,0
AC130456.5,0,0.14
AC130456.6,0,0
AC130456.7,0,0
AC130462.1,0,0
AC130462.2,0.89,1.058
AC130462.3,0.328,0.52
AC130464.1,0,0
AC130466.1,0,0
AC130467.1,0,0
AC130469.1,0,0
AC130472.1,0.194,0
AC130509.1,0,0
AC130650.1,0,0
AC130650.2,0.15,0.119
AC130651.1,0,0
AC130686.1,0,0
AC130689.1,8.539,8.928
AC130709.1,0.05,0
AC130710.1,0,0
AC130814.1,0,0
AC130888.1,0,0
AC130895.1,0.366,1.304
AC131009.1,1.692,2.18
AC131009.2,0.858,1.02
AC131009.3,17.581,16.176
AC131009.4,0.345,0.575
AC131011.1,0,0
AC131011.2,0.089,0.106
AC131025.1,0.613,0.972
AC131025.2,0,0
AC131025.3,0.07,0
AC131055.1,0,0
AC131055.2,0,0
AC131094.1,0,0
AC131097.1,0.081,0.097
AC131097.2,0,0.032
AC131097.3,1.578,2.251
AC131156.1,0,0
AC131157.1,0,0
AC131159.1,1.974,2.347
AC131159.2,0.086,0.203
AC131160.1,0.157,0.14
AC131180.1,0,0
AC131182.1,0,0
AC131206.1,3.224,2.241
AC131210.1,0,0
AC131211.1,0,0
AC131212.1,0.629,0.214
AC131212.2,0.576,0.896
AC131212.3,2.036,2.387
AC131212.4,0.431,0.733
AC131235.1,0,0
AC131235.2,3.036,2.342
AC131235.3,1.556,0.925
AC131235.4,0.291,0.115
AC131237.1,0,0
AC131238.1,0.366,0.218
AC131254.1,0.04,0.024
AC131254.2,0.109,0
AC131254.3,0,0
AC131263.1,0,0
AC131263.2,0,0
AC131274.1,0,0
AC131274.2,0,0
AC131274.3,0,0
AC131280.1,0,0
AC131281.1,0.733,0
AC131281.2,0,0
AC131391.1,0,0
AC131392.1,0.569,0.903
AC131392.2,0,0
AC131568.1,0,0
AC131571.1,0,0.011
AC131649.1,0,0.054
AC131649.2,0.041,0
AC131888.1,0.028,0
AC131902.1,0,0
AC131902.2,0,0
AC131934.1,0,0
AC131935.1,0,0
AC131935.2,0,0
AC131944.1,0,0
AC131953.1,0,0
AC131953.2,0,0
AC131953.3,0,0
AC131956.1,0,0
AC131956.2,0,0
AC131956.3,0,0
AC131957.1,0,0
AC131971.1,0,0
AC132008.1,0.21,0
AC132008.2,6.844,6.485
AC132068.1,0,0
AC132153.1,0.04,0
AC132154.1,0,0
AC132186.1,0,0
AC132192.1,0,0
AC132192.2,1.833,1.868
AC132216.1,0.052,0
AC132217.1,0,0
AC132217.2,0,0
AC132219.1,0,0
AC132219.2,0,0
AC132479.1,0,0
AC132660.2,0,0
AC132803.1,0,0
AC132807.1,0,0.468
AC132807.2,13.289,8.427
AC132812.1,0,0.24
AC132825.1,0,0
AC132825.2,0,0
AC132825.3,0.038,0.076
AC132825.4,0,0.02
AC132825.5,0,0
AC132825.6,0,0
AC132825.7,0,0
AC132825.8,0,0
AC132872.1,4.624,3.347
AC132872.2,0.076,0.181
AC132872.3,0.668,0.568
AC132872.4,0.605,0.334
AC132872.5,0.112,0.184
AC132938.1,0,0
AC132938.2,0.167,0.992
AC132938.3,0.795,0.63
AC132938.4,8.104,7.227
AC132938.5,0,0
AC132938.6,0.798,0.949
AC132938.7,0.092,0.164
AC132942.1,0.871,0.444
AC133040.1,0,0
AC133041.1,1.198,0.178
AC133065.1,0.324,0.289
AC133065.2,0.362,0.554
AC133065.3,0,0
AC133104.1,0,0
AC133104.2,0,0
AC133106.1,0,0
AC133109.1,0.237,0
AC133134.1,0.167,1.194
AC133435.1,0.626,1.116
AC133473.1,0.804,0.239
AC133480.1,0,0
AC133485.1,0,0
AC133485.2,0,0
AC133485.3,0,0
AC133485.4,0,0
AC133485.5,0,0
AC133485.6,0,0
AC133485.7,0.039,0
AC133528.1,0.075,0
AC133530.1,0,0
AC133539.1,0,0.306
AC133540.1,0,0.07
AC133548.1,0,0
AC133548.2,0,0
AC133550.1,0,0
AC133550.2,0,0
AC133550.3,0.442,0.656
AC133552.1,0.045,0.018
AC133552.2,0.694,1.015
AC133552.3,0.096,0.038
AC133552.4,0.355,0.423
AC133552.5,0.45,0.669
AC133555.1,0,0
AC133555.2,0,0
AC133555.3,0,0
AC133555.4,0,0.47
AC133555.5,0,0
AC133561.1,0,0
AC133561.2,0,0
AC133561.3,0,0
AC133561.4,0,0
AC133565.1,0,0
AC133569.1,0,0
AC133634.1,0,0
AC133637.1,0.195,0
AC133637.2,0,0.056
AC133644.1,0.111,0.132
AC133644.2,0.25,0.204
AC133681.1,0.268,0.213
AC133785.1,0,0
AC133865.1,0,0
AC133919.1,0,0
AC133919.2,0.126,0.075
AC133919.3,0,0
AC133961.1,0.079,0
AC133963.1,0.036,0
AC133963.2,0,0
AC134026.1,0,0
AC134026.2,0,0
AC134043.1,0,0
AC134043.2,0.094,0
AC134043.3,0,0
AC134050.1,0.129,0.153
AC134312.1,0.017,0.059
AC134312.2,0,0
AC134312.3,0.232,0.275
AC134312.4,0.322,0
AC134312.5,0,0
AC134312.6,0,0
AC134349.1,0.312,0.186
AC134349.2,0.264,0.706
AC134407.1,0,0
AC134407.2,0.182,0.506
AC134407.3,0.365,0.634
AC134503.1,0,0
AC134504.1,0,0
AC134508.1,0,0
AC134508.2,0,0
AC134669.1,0.145,0.288
AC134682.1,0.071,0.042
AC134684.1,0,0
AC134684.3,0,0
AC134684.4,0,0
AC134684.5,0,0
AC134698.1,0,0
AC134698.2,0,0
AC134698.3,0,0
AC134698.4,0,0
AC134698.5,0,0
AC134772.1,0.4,0.34
AC134775.1,2.201,2.617
AC134878.1,0,0
AC134878.2,0.457,1.052
AC134879.1,0,0
AC134879.2,0,0
AC134915.1,0,0
AC134978.1,0,0
AC134980.1,0,0
AC134980.2,0,0
AC134980.3,0,0
AC134981.1,0,0
AC135000.1,0,0
AC135001.1,0,0
AC135012.1,0,0
AC135012.2,0,0
AC135012.3,0,0
AC135048.1,0.221,0.219
AC135048.2,0.321,0
AC135048.3,0.733,1.089
AC135048.4,0.066,0.059
AC135050.1,0,0
AC135050.2,0.044,0.026
AC135050.3,0.669,0.477
AC135050.4,0,0
AC135050.5,3.651,4.209
AC135050.6,31.226,31.27
AC135050.7,0.027,0.097
AC135068.1,0,0
AC135068.10,0,0
AC135068.11,0,0
AC135068.2,0,0
AC135068.3,0,0
AC135068.4,0,0
AC135068.5,0,0
AC135068.6,0,0
AC135068.7,0,0
AC135068.8,0,0
AC135068.9,0,0
AC135166.1,0,0.039
AC135178.1,3.946,4.692
AC135178.2,0,0
AC135178.3,0,0
AC135178.4,0,0.051
AC135178.5,0,0
AC135178.6,5.347,5.722
AC135178.7,0,0.179
AC135279.1,0,0
AC135279.2,0,0
AC135279.3,0,0
AC135279.4,0,0.054
AC135352.1,0.042,0.101
AC135388.1,0,0
AC135457.1,0.09,0
AC135506.1,0.935,0.913
AC135507.1,16.703,15.532
AC135507.2,0,0
AC135584.1,0,0
AC135586.1,0,0
AC135586.2,0,0.252
AC135626.1,0,0
AC135626.2,0,0
AC135628.1,0,0
AC135721.1,9.611,8.094
AC135721.2,0,0
AC135726.1,0,0
AC135731.1,0.448,0.42
AC135731.2,0,0
AC135776.1,0,0
AC135776.2,0,0
AC135776.3,0,0
AC135776.4,0,0
AC135776.5,0,0
AC135782.1,3.066,2.585
AC135782.2,0.382,0.303
AC135782.3,0.4,0.475
AC135803.1,0.213,0.379
AC135893.1,0.611,0.671
AC135895.1,0,0
AC135977.1,6.953,6.107
AC135983.1,0.903,0
AC135983.2,0.712,0.521
AC135983.3,9.413,7.78
AC135983.4,2.989,1.922
AC135983.5,0.857,0.679
AC135983.6,0.834,1.984
AC135999.1,0,0
AC136188.1,0,0
AC136285.1,0,0
AC136285.2,0,0
AC136285.3,0,0
AC136297.1,3.934,3.611
AC136424.1,0,0
AC136424.2,0,0
AC136428.1,0,0
AC136428.2,0,0
AC136428.3,0,0
AC136428.4,0,0
AC136431.1,0,0
AC136431.2,0.088,0
AC136443.1,0,0
AC136443.2,0,0
AC136443.3,0,0
AC136443.4,0,0
AC136443.5,0,0
AC136469.1,0,0
AC136469.2,0.526,0.625
AC136475.1,0.35,0.341
AC136475.10,0.156,0
AC136475.2,1.226,1.093
AC136475.3,0,0
AC136475.4,0,0
AC136475.5,0.047,0
AC136475.6,0,0
AC136475.7,0.101,0.362
AC136475.8,0,0
AC136475.9,0.121,0
AC136489.1,0,0
AC136601.1,0.09,0.214
AC136601.2,0.253,0
AC136603.1,0,0.093
AC136604.1,0,0
AC136604.2,0.153,0.109
AC136604.3,1.497,1.218
AC136604.4,0,0
AC136611.1,0,0
AC136618.1,0.086,0
AC136618.2,0,0
AC136619.1,0,0
AC136619.2,0,0
AC136621.1,0,0
AC136624.1,0.111,0
AC136624.2,0,0
AC136624.3,0,0
AC136628.1,0,0
AC136628.2,0,0
AC136628.3,11.599,10.344
AC136628.4,0.112,0
AC136628.5,0,0
AC136632.1,0,0
AC136632.2,0.279,0.249
AC136698.1,0,0
AC136759.1,0,0
AC136777.1,0.163,0
AC136777.2,0,0
AC136896.1,0,0
AC136932.1,0,0
AC136944.1,0,0
AC136944.2,0,0
AC136944.3,0,0
AC136944.4,0,0
AC136944.5,0,0
AC136944.6,0,0
AC137056.1,0,0
AC137056.2,0,0
AC137488.1,0,0
AC137494.1,0,0
AC137499.1,0,0
AC137499.2,0,0
AC137527.1,0,0
AC137549.1,0,0
AC137561.1,0.577,0.429
AC137579.1,0,0
AC137579.2,0,0
AC137590.1,0,0
AC137590.2,0,0
AC137627.1,0,0
AC137630.1,1.383,1.005
AC137630.2,0.546,0.649
AC137630.3,5.223,7.672
AC137630.4,1.254,1.044
AC137630.5,0,0
AC137675.1,0,0
AC137675.2,0,0
AC137695.1,0,0.146
AC137695.2,0.08,0
AC137695.3,0.233,0.139
AC137723.1,0.906,0.897
AC137735.1,0,0
AC137735.2,0,0
AC137735.3,0,0
AC137761.1,0.2,4.516
AC137761.2,0,0
