Gene,Pat3.Myeloid,Pat1.Myeloid,Pat2.Myeloid,Pat5.Myeloid,MS2.Myeloid,MS4.Myeloid,MS5.Myeloid
CRTC1,3.24,2.9,2.379,2.772,1.767,3.539,3.16
UFL1,4.428,4.716,4.315,4.885,4.646,4.476,4.036
SRGAP2,6.744,6.535,6.615,6.681,5.302,3.198,3.37
SMG5,3.773,2.355,3.674,3.215,3.038,2.914,3.16
MAU2,4.467,4.431,4.048,4.431,2.538,3.729,3.716
SPECC1L,3.568,3.917,3.894,3.828,3.038,3.198,3.001
NCSTN,4.815,4.683,4.712,4.568,4.899,5.359,5.379
LARS2,2.543,0.6671,1.422,2.563,0,1.398,1.52
PIP5K1C,3.895,4.308,4.375,3.858,1.767,4.117,4.365
ATP13A2,4.301,3.8,4.641,3.858,4.156,3.897,4.077
EXOSC2,3.33,3.459,3.674,3.697,4.5,2.562,2.617
COTL1,5.821,5.357,6.161,5.708,4.156,6.582,7.394
SIRT5,1.142,1.745,0.8798,1.156,3.038,1.398,2.094
SIRT1,4.162,4.779,4.345,4.368,4.156,3.974,3.716
FNTB,2.006,1.122,2.379,2.405,2.538,0.8619,1.927
TMED3,3.33,2.512,3.47,2.636,4.156,3.198,3.995
GPR161,3.414,1.978,2.949,2.405,5.011,3.198,1.738
RHOQ,4.617,5.568,5.339,5.602,3.703,4.927,5.773
SF3B3,4.256,4.308,4.432,3.976,5.212,4.627,4.192
SF3B1,7.352,7.916,7.525,7.167,7.275,6.734,6.61
ABCA5,2.543,2.512,0.8798,2.486,3.703,3.321,3.083
GCAT,1.142,0.6671,1.422,0.6905,2.538,0,0
CBX6,4.112,3.459,4.801,3.515,4.156,5.443,5.518
BRD4,5.866,6.037,5.952,5.927,4.646,5.801,5.99
ISCU,5.709,5.688,5.872,5.92,5.115,5.78,5.936
LEPROTL1,4.467,3.673,4.188,4.233,4.338,3.729,4.686
CBX7,4.72,4.683,5.214,4.623,4.5,3.434,3.664
HEY2,0,0,0,0,0,0,0
ZFYVE26,2.815,3.605,2.783,2.836,4.156,3.321,4.812
RIMBP2,0,1.122,0.5059,0,2.538,0,0
TMEM131,4.344,4.779,4.712,4.693,5.011,4.422,4.633
LRRC8B,3.33,3.01,2.949,3.731,3.703,2.562,3.16
TTC9,0,0,0,0,0,1.398,0.9515
POFUT1,3.568,3.972,3.356,4.16,3.947,2.749,3.495
KCTD2,3.24,2.653,3.575,2.227,0,2.562,2.379
NUP188,3.493,2.653,3.414,2.636,0,2.562,2.822
SUZ12,5.194,5.532,5.095,5.354,4.156,5.359,4.97
FOS,7.508,7.732,7.761,8.589,9.655,7.505,8.315
NNT,4.784,5.181,4.084,6.406,8.314,5.143,4.738
TTC33,0.6812,0,1.176,1.342,2.538,2.094,0.9515
DNPEP,3.24,3.111,3.098,2.706,3.038,3.321,3.16
CDK20,0,0,0.5059,0.3862,1.767,0,0.5528
WBP2,5.692,4.898,5.214,5.343,5.544,5.143,5.786
FPGS,3.33,2.9,2.949,2.836,1.767,1.788,3.001
GTPBP4,4.112,4.616,4.011,4.256,6.37,4.888,3.495
DDAH2,4.99,4.869,4.965,5,4.156,4.966,5.71
LPAR3,0,0,0.5059,0,0,0,0
ARL2BP,0,0,0.5059,0,0,0,0
FPR1,6.345,5.204,6.424,6.871,3.408,3.897,5.033
CCNDBP1,3.568,3.206,3.233,3.352,3.947,3.434,4.036
SMUG1,2.385,2.653,2.595,2.706,0,1.788,2.822
DDX58,3.414,3.295,2.379,2.486,3.408,2.914,3.495
ELP5,2.933,2.653,3.098,3.011,2.538,3.063,3.434
KLHDC2,3.145,3.01,3.296,2.319,3.408,2.562,3.001
CARHSP1,0,0,0.5059,0.3862,3.408,2.749,3.083
ORC3,2.815,3.111,3.356,2.836,2.538,2.094,2.379
OPN3,0.6812,0.6671,0,0,0,1.398,0.9515
SH3BP1,4.506,3.917,4.048,4.279,3.703,4.117,4.116
NTSR2,0,0,0,0,0,0,0
BACE1,2.208,1.978,2.379,2.836,1.767,1.788,3.495
RUSC1,2.006,1.122,2.783,2.563,3.408,2.562,3.37
KPNA6,6.138,5.984,6.038,5.905,5.933,5.669,5.59
HSPBP1,2.385,0.6671,1.816,1.789,3.408,3.539,2.503
PPP1R15A,2.385,5.249,2.783,4.302,3.947,2.914,4.52
PLD3,5.605,3.86,5.294,5.546,4.338,6.57,7.164
SSBP3,2.933,2.355,3.47,3.262,4.156,4.719,4.365
LSM5,2.385,2.653,2.257,1.789,0,2.749,3.001
PLA2G15,5.044,4.47,5.214,5.119,4.5,4.578,5.798
TMEM2,1.491,1.122,2.124,1.156,0,2.347,2.503
TMEFF2,0,1.467,1.176,0,1.767,0,0
STX12,3.568,4.025,3.973,3.663,3.703,3.729,4.66
SH3BP4,1.491,1.467,1.978,0,3.703,3.539,2.723
SGK3,4.162,4.81,4.712,4.776,4.646,4.247,5.189
GABARAPL1,3.24,3.86,3.625,4.491,4.899,2.914,3.995
PITPNB,3.953,3.86,3.81,4.11,3.947,3.539,4.49
PISD,3.568,3.86,4.048,4.549,0,2.562,3.16
OSBP2,0,0,0.5059,0.3862,1.767,0,0.5528
IL17RA,7.925,7.513,8.122,7.723,6.452,6.654,6.596
FLRT3,0,0.6671,0,0,0,0,0
FKBP8,2.815,2.355,2.379,1.789,2.538,2.094,2.094
ARHGAP8,1.491,0,1.422,1.156,1.767,0.8619,0
APOL2,2.685,1.978,3.098,3.011,2.538,3.539,4.116
MTCH2,3.33,3.111,3.025,3.167,3.038,3.434,4.365
ALK,0,0,0.8798,0,3.038,2.347,2.617
ALOX5,6.397,6.253,6.259,6.28,4.646,5.597,5.958
EML2,1.491,0,0.8798,1.655,3.408,1.788,2.094
TFIP11,1.142,1.467,0.5059,1.342,1.767,0,2.379
FRK,2.815,2.9,2.257,1.789,5.752,2.562,1.52
ATP6V1C2,0.6812,0,0.5059,0.3862,0,0,0
CNOT6L,3.64,3.972,4.22,4.11,2.538,5.039,4.036
CDC26,1.491,1.467,2.257,1.789,0,2.094,2.617
PELI3,0,1.122,0,0.9417,0,1.398,1.52
ABL1,2.385,3.01,2.783,2.772,1.767,3.063,3.37
FUT1,2.006,1.122,1.176,0.6905,4.646,2.347,0
FUT2,2.685,1.745,1.632,2.227,4.646,2.347,1.264
TMEM9,2.385,2.9,3.524,3.011,0,2.562,2.822
KDSR,5.587,5.476,5.384,5.418,7.031,5.143,4.787
PRR14L,3.24,4.077,4.22,4.16,3.038,2.562,3.908
RICTOR,4.99,5.532,5.095,4.51,5.544,4.848,4.429
IPMK,2.933,3.295,2.783,2.563,2.538,3.897,2.914
ZBTB38,4.934,4.748,4.591,4.084,3.703,4.674,4.686
ANKRD18A,0,1.467,0.8798,0,0,0,0
MMS22L,2.815,2.9,2.379,1.789,3.703,2.094,2.094
WDR27,0,0.6671,1.816,1.507,0,0.8619,0.9515
CERS6,2.208,2.653,1.422,1.789,3.408,3.539,2.503
ZDHHC20,3.708,3.534,2.491,3.352,4.646,3.637,3.815
G6PD,4.162,3.972,4.284,3.117,3.947,3.815,4.738
YTHDF3,4.506,4.265,4.22,4.53,3.038,4.888,4.949
KCTD13,2.815,2.782,3.233,2.955,3.408,2.347,2.914
ASPHD1,0,0,0,0,1.767,0,0.5528
METAP1D,1.491,2.179,1.632,1.912,0,0,0.5528
BRWD3,3.24,2.9,3.167,3.627,3.408,3.539,3.083
EHBP1L1,2.543,2.179,2.949,2.636,3.038,3.198,2.503
SNX32,0.6812,0,0,0,0,0,0
NIFK-AS1,2.685,1.978,2.257,2.13,3.038,2.094,1.52
FBXO33,3.64,3.605,3.81,3.858,3.408,2.562,3.716
MCM9,2.208,3.01,3.025,3.262,0,2.094,2.379
PROSER2,,,,,,,
XRCC6,4.752,4.22,4.345,4.623,4.338,4.927,5.279
GAA,4.934,4.683,4.779,5.682,3.038,4.888,5.903
ZDHHC23,0,0.6671,0,0,0,0,0.9515
CASC2,0.6812,0.6671,0,0,2.538,0,0.5528
GABPB1,1.491,2.355,1.816,1.655,0,2.347,1.927
MBLAC1,0.6812,0,0,0,0,0,0.9515
ELMOD2,3.414,2.653,3.414,3.308,1.767,2.562,2.379
GABRA4,0,1.122,0.5059,0,0,0.8619,0
NPNT,0,0.6671,0,0,0,0,0
INAFM1,1.771,1.745,1.632,3.011,1.767,2.562,2.379
SYT14,0,0,0,0,0,0,0
GABRB2,0.6812,1.122,0.8798,0,3.038,1.398,2.914
HMCN2,0,0,0,0,1.767,0,0
GABRD,0,0.6671,0,0.3862,0,0,0
EML3,3.773,3.01,3.81,4.031,0,3.321,3.553
ST6GALNAC3,4.905,4.779,5.324,4.914,3.408,1.398,0.9515
TMEM151A,0,0,0,0,3.038,0.8619,0.5528
GABRG2,0,1.467,1.422,0,1.767,0,0
MAMDC2,3.24,3.605,2.595,3.167,3.947,2.347,0.9515
GABRG3,1.142,1.122,0.5059,0.3862,2.538,0,0
MAP7D2,0.6812,0,0.5059,0.3862,0,0,0
CATSPERE,0.6812,0,1.176,0.3862,1.767,0.8619,0
GAD1,0,0,0.5059,0,0,0,0
ARHGAP30,5.044,5.204,5.147,5.343,3.703,5.645,5.698
RNF214,2.006,2.179,2.124,1.507,0,0.8619,1.738
GAD2,0,0.6671,0.5059,0,0,0,0
UTS2B,0.6812,0.6671,1.176,0.6905,2.538,0,0.5528
KIAA1549L,1.491,0,0.5059,0,2.538,0,0.5528
SHC2,0,0,0,0,2.538,0,0.5528
HYPK,3.414,3.379,3.098,3.394,4.338,3.198,2.914
PRPF40B,0,0,0,0,0,0.8619,0
CBY1,3.708,2.179,1.978,1.342,3.038,1.788,1.52
SUN2,2.933,1.467,2.783,2.955,2.538,3.063,3.16
TMEM59L,0,0,0,0,0,0,0
NGEF,0,0,0.5059,0,0,0,0
FBXO7,4.008,4.22,4.665,5.182,3.947,4.719,4.763
PGLS,2.933,2.653,2.783,2.955,1.767,3.637,4.46
BRI3,5.044,5.397,5.339,5.182,5.115,6.723,7.731
GAK,6.048,5.655,6.227,4.986,4.338,4.806,4.549
SLC39A6,2.685,3.534,3.296,3.554,3.038,3.974,3.553
GCA,4.934,4.077,4.712,4.451,3.947,4.422,4.712
RHBDD3,1.491,0,0.8798,0.6905,0,1.398,0.9515
TTLL1,0.6812,0.6671,0,0,0,0.8619,0.5528
SAMM50,3.414,3.111,3.524,3.262,2.538,2.914,3.303
TNFAIP8,3.493,2.9,3.167,2.025,5.115,5.359,4.763
FAM19A5,0.6812,0,0,0.3862,0,0.8619,0
GALE,2.385,1.122,1.978,2.706,2.538,0.8619,2.723
DNAJB5,1.142,1.467,0.8798,0,1.767,1.788,0.9515
TXN2,4.162,4.308,4.432,3.764,3.038,4.476,4.763
B4GALNT1,0,0,0,0,0,0,0
SULT4A1,0,0.6671,0,0,0,0,0
NBPF14,1.142,0.6671,0.8798,1.156,2.538,2.347,2.379
COG4,3.24,2.653,2.692,2.563,3.408,2.749,2.243
ASF1A,2.208,2.782,2.783,2.706,2.538,2.562,3.001
MOB4,3.836,4.508,3.575,4.031,5.212,3.815,3.716
PARM1,1.771,1.122,0.8798,1.156,1.767,1.788,2.379
GALK2,3.953,4.126,3.894,3.215,4.156,3.815,3.083
ZNF345,2.385,1.978,2.783,2.486,2.538,1.398,1.52
TECPR1,3.836,3.206,3.233,4.031,4.899,3.434,3.61
ARMC8,4.21,4.308,4.154,4.084,3.408,3.815,4.633
DCAF12,3.043,3.111,2.692,3.352,0,4.047,3.37
PART1,4.686,5.204,4.487,3.947,6.672,2.914,0.5528
WHRN,0,0,0,0,3.408,1.398,0.5528
PRKD2,3.043,1.467,3.167,2.486,3.408,1.398,2.094
SUMF2,1.491,1.122,1.632,1.507,0,0,1.264
RPL36,5.981,5.638,5.684,6.502,6.949,7.179,7.418
MPC2,3.145,2.512,2.868,3.436,0,4.047,4.429
LETMD1,3.836,3.738,3.852,4.058,2.538,2.347,3.303
GALNS,1.771,1.745,2.491,2.319,0,2.347,3.16
ABI3BP,0,0,0.5059,0,0,0.8619,0
RNF19A,3.708,4.431,3.72,3.858,4.156,3.434,4.332
RCHY1,2.933,3.111,3.167,3.215,3.947,3.198,2.617
IFFO1,5.121,4.126,5.309,5.265,3.408,4.627,4.549
MTHFD1L,4.72,4.47,4.823,4.885,1.767,2.347,3.664
CNOT10,3.836,3.295,3.414,2.772,3.703,2.347,3.434
DPCD,0.6812,0,0.8798,0.3862,0,0.8619,0.5528
RTTN,4.752,5.204,5.164,4.885,3.038,2.749,3.995
NDUFAF3,3.33,3.972,3.575,3.554,3.038,4.047,4.116
THUMPD3,2.208,2.512,1.632,2.227,1.767,2.347,2.617
NELFB,3.33,3.379,3.674,3.011,3.408,3.637,3.434
HSPA12A,0,0,0,0,0,0,0
ATL3,4.256,4.025,4.011,4.568,3.947,4.528,4.549
MYRIP,1.142,0.6671,0.5059,0,0,0,0
CNRIP1,3.493,2.782,3.167,2.13,1.767,2.562,2.723
PTPN23,3.708,3.534,3.894,3.065,0,3.321,4.264
HEATR5A,5.641,5.55,5.482,5.611,6.491,4.927,4.298
NECTIN3,2.208,3.01,2.868,2.319,1.767,0,0.9515
ZNF385A,5.07,4.126,4.616,4.084,3.408,5.573,6.169
KBTBD2,3.708,4.839,4.46,4.302,4.338,3.729,4.264
PNKD,4.301,4.025,4.823,3.515,2.538,4.627,5.411
GAP43,1.142,0.6671,1.632,0,3.038,0,0
VIRMA,3.33,3.673,2.949,2.955,2.538,2.562,3.37
C2CD2,4.061,3.86,3.852,3.308,3.408,2.347,2.617
GAPDH,6.617,5.638,6.402,5.853,5.617,6.778,8.104
SH2B1,3.24,3.459,3.894,4.031,4.156,3.063,3.083
UNC50,4.112,3.86,3.524,3.828,4.5,3.063,3.083
EGFL6,,,,,,,
TIPARP,2.815,2.512,2.783,1.912,1.767,1.788,3.16
NECAP1,4.162,4.077,3.414,4.623,4.5,2.347,4.116
CHMP2B,3.708,3.01,3.575,3.308,3.408,4.578,4.904
DNAH1,3.708,3.01,2.692,3.065,4.156,2.347,2.723
ULK3,4.301,4.126,4.253,4.51,4.156,3.321,4.036
REXO2,3.145,3.111,2.783,2.025,4.156,3.063,3.303
IBTK,3.836,4.839,4.591,4.675,3.703,4.308,4.738
CLIP3,0.6812,0,0,0.6905,3.408,0,1.264
GORASP2,3.708,3.111,4.403,3.476,2.538,4.117,4.228
L3MBTL1,1.142,1.745,0.5059,1.156,2.538,0,0.9515
TMEM98,0,1.122,1.176,0,1.767,2.094,0
CYP4X1,,,,,,,
NSUN5P2,,,,,,,
PLEKHG3,1.491,1.467,1.422,2.13,2.538,1.398,0.9515
OSBPL3,4.112,5.293,4.253,5.081,3.038,3.729,4.228
CHD5,0,0,0,1.156,0,0,0
SS18L1,3.568,3.206,3.766,3.352,3.408,1.788,2.503
LTN1,3.895,4.265,3.81,4.209,3.947,4.247,3.815
FAM169A,0,0.6671,0,0,3.038,0,0
PPP1R16B,0,0,0,0,0,2.914,2.503
APPL1,4.467,5.495,5.262,4.792,4.899,5.271,5.313
HACL1,2.685,2.653,2.783,2.319,0,2.347,2.243
RAI14,0,0,0.5059,0,1.767,0,0.5528
RTL8A,,,,,,,
GPSM1,1.142,0.6671,0.5059,1.156,0,0.8619,0.5528
GGA1,3.043,3.206,3.47,3.065,3.038,3.815,4.155
ABHD12,5.532,5.109,5.872,4.944,4.899,4.806,6.553
DCAF4,1.771,1.978,2.257,2.772,2.538,2.094,1.52
CHTOP,4.962,5.227,4.865,4.727,4.899,4.719,4.398
SZRD1,3.145,3.673,3.356,3.167,2.538,3.539,3.61
LDLRAP1,2.685,2.782,4.011,3.117,3.408,2.749,2.723
PRPF31,2.685,2.512,2.949,3.352,1.767,2.347,3.16
EPC2,2.933,2.653,2.949,3.117,0,3.539,3.16
TRPC4AP,4.387,4.174,4.779,4.368,3.947,3.637,4.46
TRAF3IP1,1.491,2.512,0.8798,1.655,0,2.914,1.738
PHF19,2.208,2.512,2.491,1.912,0,3.434,2.617
RSL1D1,4.99,5.059,5.369,5,4.778,5.621,5.698
IFT172,2.385,1.978,3.025,1.507,0,1.788,1.927
MTG2,4.344,3.605,4.253,4.727,6.042,4.308,3.716
RGS22,0.6812,0,0.5059,0,0,0,0
GARS,2.815,2.355,3.524,3.515,1.767,1.788,3.862
TIPRL,3.836,4.22,3.81,4.004,3.408,3.321,3.664
INTS1,3.33,3.111,2.257,2.405,0,2.914,2.243
PTPN22,1.491,0.6671,0.8798,0,2.538,3.815,3.303
AMD1,4.617,4.716,4.253,4.302,4.899,4.806,4.52
GAS2,0,0,0,0.6905,0,0,0
GAS6,3.145,3.459,3.575,5.041,4.338,3.729,3.303
FBXL3,4.301,4.174,4.46,4.279,3.947,4.528,3.716
ARL5A,6.644,7.09,6.609,6.228,4.338,6.221,6.722
B3GAT3,2.208,1.467,2.379,3.117,0,3.539,1.927
FBXO2,0,0,0.8798,0,0,0,0
FBXL5,4.301,4.025,4.188,4.084,4.156,4.848,4.606
KLHL3,1.771,1.467,1.816,2.227,2.538,1.398,0.5528
TSPAN17,0,0.6671,1.632,2.227,3.703,1.788,3.001
FBXO9,5.218,5.204,5.231,4.346,5.115,4.247,4.264
FBXO3,3.145,3.8,3.575,3.663,4.778,2.562,2.379
SACS,2.685,3.206,2.692,2.486,3.703,2.562,2.094
GATM,5.474,5.357,5.454,5.488,3.703,4.047,4.077
ARFGAP3,3.33,3.459,2.868,3.663,1.767,4.183,4.332
ANKRD2,,,,,,,
GALNT8,0.6812,0.6671,0.8798,0.3862,0,0.8619,0
GBAP1,,,,,,,
GBE1,2.543,3.673,3.414,2.772,2.538,3.198,3.862
GBP1,2.543,1.978,1.816,2.896,0,3.063,4.549
FAM162A,2.933,3.111,3.356,3.167,1.767,3.434,4.228
GCDH,2.815,1.745,2.379,2.836,0,2.562,2.094
SEZ6L2,0,0,0,0,1.767,0,0
NUPR1,2.543,3.917,1.632,2.025,5.686,5.416,6.748
PPP1R14B,2.543,1.745,2.491,1.507,3.038,4.674,3.495
KAT2A,5.17,5.033,5.339,4.185,5.011,3.974,3.001
GCNT1,0,0.6671,0,0.3862,0,3.434,3.664
NARF,3.145,2.179,3.81,3.476,1.767,2.562,2.243
CNNM4,2.208,3.01,2.379,1.912,0,3.063,2.617
HEYL,0,0,0,0.3862,0,0,0
TIMM10,1.771,1.745,2.595,2.319,1.767,3.321,3.434
TIMM9,2.815,1.978,2.949,2.563,3.947,2.749,3.001
AGO1,3.414,4.308,3.72,4.031,3.947,3.815,4.578
LATS2,1.771,1.467,2.124,1.655,3.038,2.347,2.723
DAZAP1,3.708,3.673,4.12,4.675,3.038,4.422,4.332
AATF,3.24,2.9,3.414,3.436,1.767,3.539,3.434
HS6ST3,0.6812,0,0,0,0,0,0
MDGA1,0,0,0,0,0,0,0
NAP1L5,0.6812,0,1.816,0,0,0,0
AMFR,3.493,2.653,3.625,3.591,1.767,4.528,4.116
GFPT1,4.256,3.972,4.048,3.663,4.899,4.183,3.16
NUFIP1,2.815,3.01,2.949,2.319,2.538,1.398,3.553
SH3YL1,2.815,3.295,3.414,3.554,3.408,2.749,2.617
GGCX,4.256,3.86,3.852,3.515,5.011,3.063,3.37
GGT7,3.64,4.025,3.852,4.031,3.038,2.347,1.52
OPLAH,0.6812,0,0.5059,0,0,0,0
GHR,0.6812,0,0,0,1.767,0,0
SEC22A,3.33,3.01,3.625,3.065,2.538,2.914,2.379
AP3M1,3.043,3.206,3.72,3.918,0,3.729,3.952
PABPC1,8.519,8.78,8.714,8.589,7.463,9.431,9.712
AKAP8L,1.142,1.978,1.816,1.655,1.767,2.749,0.5528
RNF11,2.685,3.295,3.356,3.554,2.538,4.117,3.233
FGF22,0,0,0,0,0,0,0
CNPPD1,4.652,4.265,4.46,3.731,3.947,4.047,4.429
BEX3,3.33,2.179,3.674,2.836,5.468,4.674,3.37
NPTN,4.99,4.748,5.181,5.488,3.947,3.815,5.279
MLH3,3.836,3.01,3.47,3.663,3.038,4.047,3.233
ATP2C1,5.434,5.227,4.985,5.31,4.646,4.247,4.365
PKD2L2,0.6812,0.6671,0,0,0,0,0
DIEXF,2.543,2.9,2.124,2.319,2.538,0,1.52
PELP1,3.773,3.917,3.81,3.764,3.703,3.063,3.495
HGNC:18790,,,,,,,
GHITM,3.895,4.431,4.345,4.279,5.544,4.528,5.576
VPS41,4.344,4.81,4.22,3.436,2.538,4.848,4.549
B9D1,0,1.745,0,0,0,0,0.5528
RPUSD2,1.771,1.122,0.5059,1.507,1.767,1.788,1.927
UQCRQ,4.686,4.431,4.188,4.256,5.115,5.143,5.473
ZBTB11,3.493,4.265,3.934,3.697,4.338,4.366,3.862
SDCBP2,0,0,0.5059,0.6905,0,0.8619,0
MORC1,2.933,2.355,3.625,1.342,0,0,0.9515
STK36,2.208,2.512,3.356,3.065,2.538,1.788,2.379
BRPF3,1.142,2.512,2.257,2.025,1.767,0.8619,0.9515
SALL3,0,0,0.5059,0,2.538,1.398,0
SLC39A1,4.846,4.174,4.665,4.71,3.703,3.897,4.763
TUBG2,3.33,3.605,3.625,2.706,4.156,2.749,1.738
TUBGCP4,2.815,2.653,3.766,2.772,0,2.094,1.264
SERP1,6.022,6.024,6.083,5.853,4.899,6.901,6.85
BBS9,1.142,1.467,1.176,1.507,0,2.094,1.264
TNFRSF21,3.836,3.01,2.692,1.655,2.538,3.974,2.723
RNF115,5.758,5.814,5.599,5.837,7.362,5.597,4.787
NFU1,2.815,3.379,3.296,3.352,3.703,3.063,3.553
SRPX2,,,,,,,
R3HCC1L,2.208,3.111,1.978,3.262,3.408,2.094,2.822
CRCP,2.685,3.206,2.868,3.065,1.767,2.094,2.914
GCLM,3.64,3.379,2.692,3.117,5.388,3.815,3.001
RAB30,0,2.512,1.422,0.3862,2.538,1.398,1.264
PGAP2,2.208,1.745,1.978,1.912,0,1.788,1.52
TOX3,0,0,0,0,0,0,0
PCDH11X,0,0.6671,0,0,0,0,0
RRP7A,4.905,5.157,4.46,4.727,3.947,5.621,4.549
DESI1,5.33,4.22,5.147,5.119,6.144,4.476,3.434
SGSM3,2.543,2.355,2.595,3.065,3.408,3.729,2.243
GLI4,2.385,1.745,1.632,2.13,1.767,2.347,1.927
GLP1R,0,0,0,0,0,0,0
GLRA2,1.142,0,0.8798,0,0,0,0
HTRA2,1.491,0,0.8798,0,0,2.347,1.52
GLRB,0,0,0,0,0,0,0
POLM,4.162,3.972,4.12,3.889,2.538,2.749,3.434
EML4,6.198,6.469,6.321,5.927,4.5,4.183,5.99
HDHD5,2.815,2.653,2.692,2.486,2.538,2.347,3.434
PCLO,3.414,4.47,3.625,1.789,4.338,1.788,2.094
GLRX,5.569,5.495,5.962,5.611,3.947,5.388,5.576
GLUD1P3,,,,,,,
GMDS,1.142,1.978,1.632,0.3862,1.767,0,1.264
GMFB,3.568,3.206,3.233,4.209,3.703,2.347,3.495
GNA12,3.043,3.206,3.098,2.772,0,3.815,4.192
GNAI2,8.617,8.213,8.609,7.489,6.328,8.52,9.136
GNAS,9.222,9.099,9.333,9.114,8.259,9.237,9.857
GNB3,0,0,0,0,0,0,0
GNG3,0,0,0.5059,0,0,0,0
GNL1,3.145,3.206,2.595,3.065,3.408,2.562,2.914
GNS,5.953,5.417,5.561,5.343,4.778,5.597,6.885
AMY2B,,,,,,,
GOLGA1,4.506,3.86,4.22,3.858,4.156,2.347,3.434
GOLGA3,4.652,4.779,4.641,4.885,5.686,4.674,4.155
GPD2,3.043,3.86,3.098,3.889,3.038,3.321,4.116
GPI,3.773,3.917,3.524,3.796,4.646,4.476,5.604
STK32C,0,0,0.5059,1.655,0,2.094,0.9515
BLOC1S2,2.933,3.972,3.852,3.627,3.947,4.366,5.617
MKX,0,0,0,0,0,0,0
SBF2-AS1,1.491,1.467,1.632,0.9417,2.538,2.347,0.9515
CCDC88B,4.428,3.738,4.315,4.491,4.156,3.897,4.429
RASSF3,2.006,3.111,2.595,2.405,1.767,3.897,4.949
ANKRD52,3.568,3.379,3.81,2.486,1.767,2.347,3.233
DPY19L2,0,0.6671,0,0,1.767,0,0
KSR2,0,0,0.5059,0,0,0,0
GATC,3.493,4.22,3.524,4.004,3.703,3.974,3.553
GXYLT1,2.933,2.653,2.783,3.976,4.338,4.047,3.766
LINC00639,0,0.6671,0,0,2.538,0,0.9515
CEP170B,0.6812,0,0,0,0,0,0.5528
NTRK3-AS1,,,,,,,
HERC2P3,,,,,,,
FBXL22,1.142,0,0.5059,0,0,0,0
NPW,0,0,0.5059,0,0,0,0
BRICD5,2.208,0,2.491,2.025,2.538,1.398,0.5528
INO80E,0,0,0.8798,0.6905,0,1.398,1.52
NUDT7,0,0,0.5059,0,0,0.8619,0.5528
ZNF843,3.24,2.782,3.025,3.697,4.5,2.914,1.52
HID1,0.6812,0,0.5059,0,1.767,0,0.5528
TSEN54,3.64,2.179,2.379,2.227,2.538,2.749,1.927
UBALD2,4.256,4.025,4.375,4.256,3.038,4.763,4.365
HEXDC,2.815,2.9,2.949,3.308,3.038,3.198,2.503
C17orf58,2.006,1.122,2.379,0.9417,1.767,0,2.379
FAM171A2,0,0,0,0.3862,0,0,0
NEK8,1.142,0,0.8798,0.3862,3.038,2.562,1.52
SLC13A5,0,0,0,0,0,0,0
SLC26A11,2.543,2.653,2.379,2.896,3.408,2.094,4.763
GDPD1,1.142,0,1.422,0.9417,0,2.094,0
ZADH2,4.652,4.65,4.926,3.731,2.538,4.422,3.995
ZIK1,1.142,0,1.176,0.9417,1.767,0.8619,1.264
TMEM145,0,2.179,0,0.3862,2.538,0,0.5528
CXCL17,0,0,0,0,0,0,0
MAMSTR,1.142,0,0.8798,0.3862,0,0.8619,0.5528
HKR1,3.836,3.459,3.766,3.554,2.538,3.321,2.503
OR2L13,0,0,0,0,0,0,0
SLC9C2,0.6812,0,0,0,1.767,0,0
NBPF15,2.385,1.467,2.124,2.13,0,1.398,1.52
LPAR4,0,0,0,0,2.538,0,0
ANKRD34A,0,0.6671,0.5059,0,0,0,0
RUSC1-AS1,0.6812,0.6671,0.8798,1.655,0,0.8619,0.5528
ZNF326,4.112,5.133,4.284,4.929,4.156,3.897,3.233
RIMKLA,1.491,1.745,1.176,2.227,2.538,0.8619,0
SLC25A34,2.006,0.6671,0.5059,1.507,0,0.8619,2.243
MIR646HG,3.24,3.206,2.379,1.342,2.538,0,1.264
FAM182A,0,1.745,0.8798,0,2.538,0,0
GPR26,0.6812,0.6671,0,0,0,0,0
TTC28-AS1,2.006,1.745,1.422,1.912,3.408,1.398,0.5528
LINC01114,,,,,,,
ANGPT2,0.6812,2.512,1.176,2.025,0,0,0.5528
ALKAL2,0,0,0,0,0,0,0
NKIRAS1,0,1.467,1.422,1.342,0,0.8619,1.52
CDH19,1.142,0,0,0,2.538,0,0
IAH1,2.208,1.978,2.595,2.405,2.538,3.321,3.61
CYP1B1-AS1,1.491,2.179,1.632,0.6905,5.011,0.8619,0.5528
GPER1,1.491,0,0.5059,0.9417,0,0,0.5528
RABL3,4.506,4.508,4.487,4.623,5.388,4.247,2.723
IGSF10,2.685,1.745,2.595,0.9417,0,0,0.5528
C3orf33,2.208,1.745,1.632,2.405,3.408,2.094,1.738
SUMF1,3.773,2.512,2.491,3.515,3.038,3.434,4.429
RPUSD3,3.836,2.179,3.973,2.405,0,4.117,3.815
PRRT3,2.208,2.512,2.124,2.706,4.5,0.8619,1.264
C3orf70,2.815,1.745,2.491,1.912,0,0,0
RPL34-AS1,0,0.6671,0,0,0,0,0
CTBP1-AS,3.414,2.782,3.296,3.697,3.947,4.117,1.927
GPRIN3,5.881,5.737,5.696,5.782,6.412,5.669,5.313
COX18,4.21,3.534,4.154,3.858,3.947,3.897,3.908
FRYL,4.544,4.508,4.566,4.491,4.899,4.627,4.606
RNF175,0,0,0,0,0,1.398,0
