Gene,Pat3.Myeloid,Pat1.Myeloid,Pat2.Myeloid,Pat5.Myeloid,MS2.Myeloid,MS4.Myeloid,MS5.Myeloid
UST,2.006,1.467,2.124,1.912,2.538,0.8619,0.5528
ACTR3,5.821,5.737,5.696,6.019,5.617,6.105,6.76
ACTR2,6.769,6.98,6.827,6.934,5.989,7.512,7.865
LIPE-AS1,0,0,0,0.3862,0,0,0
LINC01505,,,,,,,
PYURF,3.895,3.206,3.973,3.889,4.156,4.308,4.49
IL21-AS1,0,0.6671,0,0,0,0,0
CDH12,0,1.467,1.176,0,1.767,0,0
NUBP2,2.815,2.512,1.978,2.025,3.038,2.914,3.664
TSFM,1.771,1.978,3.025,1.912,1.767,2.914,2.617
CTDSP2,4.962,4.98,5.648,4.929,5.617,5.496,5.189
NBPF19,3.953,3.534,3.894,3.215,3.408,4.627,3.495
NBPF26,0.6812,1.122,0.5059,0.6905,0,2.094,2.094
NUTM2B-AS1,4.905,5.752,5.324,4.914,5.302,5.33,4.298
LINC00609,0,0,0,0,0,0,0
FEM1B,4.256,4.65,3.894,4.451,4.899,4.719,4.332
ACTR1B,4.061,3.917,4.048,3.394,4.156,3.434,3.862
ARL4C,2.208,1.467,0.8798,0.3862,5.875,5.645,4.228
FRY,0,0,0,0,3.038,0.8619,0.9515
TRAP1,1.142,1.978,1.632,1.507,1.767,1.398,1.264
ARFRP1,2.933,1.467,1.816,2.319,0,2.914,1.264
DLGAP1-AS4,0,0,0,0,1.767,0,0
FAM13A,3.836,4.545,3.766,4.185,3.038,3.815,3.16
G3BP1,5.07,5.532,5.495,5.027,4.5,5.903,5.458
SUGP2,6.497,6.674,6.519,6.545,7.463,6.088,5.133
MBNL2,3.24,4.391,3.674,3.764,5.115,4.366,3.952
PLXNC1,0,1.745,1.422,1.789,1.767,5.143,5.152
TRIM28,5.623,5.457,5.819,5.253,4.646,5.176,5.094
AASS,0.6812,0.6671,0.8798,1.507,0,0,0
ATP6AP2,5.881,5.672,5.522,5.757,5.815,6.454,6.941
LPAR6,8.293,8.091,7.92,7.898,5.686,5.961,5.645
LPCAT3,0,0,0.5059,0.6905,0,0,0
SLC25A13,3.773,3.295,3.625,3.436,4.338,3.063,3.001
ZNF350-AS1,0,0,0,0,0,0,0
SCHLAP1,0,0.6671,0.5059,0,0,0,0
SORBS3,3.493,3.295,3.524,3.394,2.538,3.637,4.49
LHFPL2,6.92,6.42,6.745,7.055,5.544,5.109,6.073
ALYREF,1.491,2.512,0.8798,1.507,0,1.788,2.379
TXNDC9,2.208,1.978,2.692,2.772,1.767,2.914,2.822
LSAMP-AS1,0,0,0,0,0,0,0
OSMR-AS1,,,,,,,
ROR1-AS1,4.008,4.898,3.973,2.227,8.201,2.094,1.264
LINC01473,1.142,1.745,1.176,1.655,1.767,0.8619,0.5528
LINC01237,,,,,,,
DSG1-AS1,0,0,0.5059,0,0,0,0
PKN2-AS1,0.6812,0.6671,0,0,3.038,0,0
UBXN10-AS1,0,0,0,0,0,0.8619,0
SLC44A3-AS1,,,,,,,
