Geneid	C2_1Aligned.sortedByCoord.out.markDups	C1_1Aligned.sortedByCoord.out.markDups	K2_1Aligned.sortedByCoord.out.markDups	K1_1Aligned.sortedByCoord.out.markDups	C3_1Aligned.sortedByCoord.out.markDups	K3_1Aligned.sortedByCoord.out.markDups
CSPG4	2327	2476	2502	2801	2901	3538
CSPG5	4	2	3	0	11	11
CSPP1	1019	932	856	1138	1034	1633
CSRNP1	324	321	230	342	382	434
CSRNP2	594	503	473	631	669	911
CSRNP3	0	0	0	0	0	0
CSRP1	1117	1112	1074	1279	1202	1750
CSRP2	29	35	28	49	20	64
CSRP3	118	195	110	198	196	246
CST1	0	0	0	0	0	0
CST11	0	0	0	0	0	0
CST2	0	0	0	0	0	0
CST3	5818	5401	6804	7219	6205	10704
CST4	0	0	0	0	0	0
CST5	0	0	0	0	0	0
CST6	0	0	0	0	0	0
CST7	1177	1099	1082	1476	1277	1935
CST8	0	0	0	0	0	0
CST9	0	0	0	0	0	0
CST9L	0	0	0	0	0	0
CSTA	1535	1747	1322	2289	1361	2388
CSTB	2012	1848	2845	3079	2189	4406
CSTF1	560	542	556	750	633	1033
CSTF2	665	713	629	844	665	1108
CSTF2T	1173	1319	1151	1573	1343	2040
CSTF3	1101	1160	947	1360	1092	1778
CSTL1	0	0	0	0	0	0
CT45A1	0	0	0	0	0	0
CT45A10	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0
CT45A7	0	0	0	0	0	0
CT45A8	0	0	0	0	0	0
CT45A9	0	0	0	0	0	0
CT47A1	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0
CT47A11	0	0	0	0	0	0
CT47A12	0	0	0	0	0	0
CT47A2	0	0	0	0	0	0
CT47A3	0	0	0	0	0	0
CT47A4	0	0	0	0	0	0
CT47A5	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0
CT47A8	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0
CT47B1	0	0	0	0	0	0
CT55	0	0	0	0	0	0
CT62	0	0	0	0	0	0
CT83	0	0	0	0	0	0
CTA-150C2.22	0	0	0	0	0	0
CTAG1A	0	0	0	0	0	0
CTAG1B	0	0	0	0	0	0
CTAG2	0	0	0	0	1	0
CTAGE1	0	0	0	0	0	0
CTAGE15	0	0	0	0	0	0
CTAGE4	0	0	0	0	0	0
CTAGE5	10	20	17	35	30	67
CTAGE6	0	0	0	0	0	0
CTAGE8	0	0	0	0	0	0
CTAGE9	0	0	0	0	0	0
CTB-102L5.4	0	0	0	0	0	0
CTB-127M13.1	0	0	0	0	0	0
CTB-133G6.1	59	89	86	115	108	162
CTB-16J4.1	0	0	0	0	0	0
CTB-25J19.1	0	0	0	0	0	0
CTB-50L17.10	2825	2932	2834	2881	3539	4358
CTB-50L17.14	8	4	1	4	2	7
CTB-54O9.9	0	0	0	0	0	0
CTB-60B18.10	1	0	3	2	3	5
CTB-60B18.23	0	0	0	0	0	0
CTB-60B18.6	0	0	0	0	0	0
CTB-96E2.2	0	0	0	0	0	0
CTBP1	4595	4083	3822	4495	5555	6960
CTBP2	1530	1701	1253	1892	1720	2451
CTBS	264	263	252	329	250	438
CTC-260F20.3	66	49	50	45	89	122
