Gene,MOLM13_sgNT_R1,MOLM13_sgNT_R2
AC004528.2,0.331,0
AC004540.1,0.04,0.019
AC004540.2,0.026,0
AC004542.1,0,0.255
AC004542.2,0,0
AC004543.1,0,0
AC004549.1,0,0
AC004551.1,0,0
AC004552.1,0.327,0.302
AC004554.1,0,0
AC004554.2,0,0
AC004584.1,0,0
AC004584.2,0,0
AC004584.3,0.031,0.057
AC004585.1,5.032,5.512
AC004585.2,0,0
AC004590.1,0,0
AC004593.1,0,0
AC004593.2,0,0
AC004594.1,0,0
AC004595.1,0,0
AC004596.1,0.138,0.128
AC004597.1,0,0
AC004623.1,0.103,0
AC004637.1,0,0
AC004655.1,0,0
AC004656.1,0,0
AC004672.1,0,0
AC004672.2,0,0.117
AC004673.1,0,0
AC004674.1,0,0
AC004674.2,0,0
AC004678.1,0.941,2.03
AC004678.2,0.291,0.471
AC004687.1,13.586,12.851
AC004687.2,0,0.035
AC004687.3,0.602,0.399
AC004690.1,0,0
AC004690.2,0,0
AC004691.1,0,0
AC004691.2,0,0
AC004692.1,0,0
AC004692.2,0,0
AC004696.1,0,0
AC004696.2,0,0
AC004699.1,0,0
AC004702.1,0,0
AC004704.1,1,1.733
AC004706.1,0,0
AC004706.2,0,0
AC004706.3,0.662,0.793
AC004707.2,0.306,0.471
AC004745.1,0,0
AC004765.1,0,0
AC004769.1,0,0
AC004771.1,0.166,0.614
AC004771.2,2.512,2.078
AC004771.3,1.23,0.711
AC004771.4,0,0
AC004775.1,0,0
AC004777.1,0,0
AC004784.1,0,0
AC004790.1,0,0
AC004790.2,0,0
AC004797.1,0,0
AC004801.1,0,0.374
AC004801.2,0.655,0.605
AC004801.3,0,0
AC004801.4,0,0
AC004801.5,0,0
AC004801.6,1.564,1.997
AC004801.7,0,0
AC004803.1,2.363,2.919
AC004805.1,0,0
AC004805.2,0,0
AC004805.3,0,0
AC004808.1,0,0
AC004808.2,0,0
AC004812.1,0,0
AC004812.2,2.992,2.188
AC004816.1,0.085,0.196
AC004816.2,0.257,0
AC004817.1,0,0
AC004817.2,0,0
AC004817.3,0,0
AC004817.4,0,0
AC004817.5,0,0
AC004824.1,0,0
AC004824.2,0,0
AC004825.1,0,0
AC004825.2,4.163,2.221
AC004825.3,0,0.014
AC004828.1,0,0
AC004828.2,0,0
AC004830.2,0,0
AC004832.1,0,0
AC004832.2,0,0
AC004832.3,0,0
AC004832.4,0,0.204
AC004832.5,0,0
AC004832.6,0.621,0.191
AC004834.1,0.016,0
AC004835.1,0,0
AC004835.2,0,0
AC004836.1,0,0
AC004837.1,0,0
AC004837.2,0,0
AC004837.3,0,0
